label,sentence
1,Good deal. RECOMMEND Thoroughly Modern Millie (1967)
0,I like older stuff, 1950-1999. RECOMMEND Monsters, Inc. (2001)
1,We can try that. RECOMMEND Lemony Snicket's A Series of Unfortunate Events (2004)
1,Just keep offering me options, we'll get there. RECOMMEND Fight Club (1999)
1,I'm a fan of acting serious Jim Carrey, or early Kevin Spacey, if that helps.. RECOMMEND Magnolia (1999)
1,I'm open to that. RECOMMEND Trainspotting (1996)
1,I enjoy crime thrillers and parodies as well.. RECOMMEND Goodfellas (1990)
1,dramas, comedy, romantic. RECOMMEND You're Not You (2014)
1,Because i love war dramas. My favorite movie is Saving Private Ryan, and this movie seems very similar.. RECOMMEND Braveheart (1995)
1,Am I talking to a real human?. RECOMMEND Glory (1989)
1,I accepted the movie because it is a drama, but I don't really know what the script is about.. RECOMMEND Speed (1994)
1,Yes shoot. RECOMMEND Toy Story (1995)
1,recommend it. RECOMMEND Waxwork (1988)
1,sure. RECOMMEND Good Will Hunting (1997)
1,rom com, try that. RECOMMEND Sex and the City 2 (2010)
1,horror. RECOMMEND Murder in the First (1995)
1,ok. RECOMMEND Dances with Wolves (1990)
1,I like Anthony Hopkins, Denzel Washington, Tom Hanks and Sally Field. I like a variety of directors such as John Frankenheimer, Winston Groom and Peter Weir.. RECOMMEND Dances with Wolves (1990)
1,Looks like a good rec. RECOMMEND L.A. Confidential (1997)
1,Please recommend something or ask me some more questions lol. RECOMMEND K-9 (1989)
1,Yeah, focus on crime and action, not one or the other and somehing specifically from the 90s not the 80s. RECOMMEND True Romance (1993)
1,yes please. RECOMMEND Reservoir Dogs (1992)
1,I like romantic comedies but I also like a good thriller once in a while as well.. RECOMMEND Sleepless in Seattle (1993)
1,I prefer newer stuff. Late 90's and up.. RECOMMEND Georgia Rule (2007)
1,Ok, that sounds exciting. Let's try that.. RECOMMEND Fight Club (1999)
1,OK, sounds similar to a previous movie I have seen that I liked.. RECOMMEND City by the Sea (2002)
1,Love her! I think that sounds great. What title did you have in mind?.. RECOMMEND Juno (2007)
0,Okay. How about something from Sofia Coppola or a comedy?. RECOMMEND Big Fish (2003)
0,Bill Murray is someone I like. Also Jim Sheridan. RECOMMEND Dead Poets Society (1989)
0,This isn't a film I would like.. RECOMMEND Garden State (2004)
1,You are trying to suggest a movie that I would like, and hopefully one that would match one of the movies I had seen before. Therefore, I'm trying to give you suggestions based on the directors of the the films. So far what you have suggested doesn't match well with what I would like. Who are some directors names that you would recommend?. RECOMMEND Tyrannosaur (2011)
1,sure. RECOMMEND Reservoir Dogs (1992)
1,ok please recommend it to me. RECOMMEND Cadillac Man (1990)
1,okay. RECOMMEND Requiem for a Dream (2000)
1,don't think i've ever watched their movies but i'm open. RECOMMEND O Brother, Where Art Thou? (2000)
1,I like war movies! Also I like Martin Shen, Paul Reubens and Craham Chapman. RECOMMEND No Country for Old Men (2007)
1,looks interesting. RECOMMEND Apocalypse Now (1979)
0,Yes but really into something sexy as well. I like a lot of suspense would be good too. RECOMMEND Pulp Fiction (1994)
0,I like dramas. RECOMMEND Raising Arizona (1987)
1,this is more of a comedy. RECOMMEND Fargo (1996)
1,Seems not quite what i'm looking for. What about something a little lesss space based.. RECOMMEND Inception (2010)
0,Its a space film with lots of action like enders game. RECOMMEND Memento (2000)
1,Hello, I really like action thrillers. Especially ones involving war, crime and politics.. RECOMMEND Serenity (2005)
1,Yes, if the movie is a thriller or drama movie. RECOMMEND Slumdog Millionaire (2008)
1,I like drama film. This one seems a very interesting movie.. RECOMMEND Million Dollar Baby (2004)
1,I like Edward Norton. Please recommend.. RECOMMEND American History X (1998)
0,Sci fi or fantasy please.. RECOMMEND Donnie Darko (2001)
1,sure. RECOMMEND Requiem for a Dream (2000)
1,memento.. mulholland drive. RECOMMEND Inland Empire (2006)
1,I have never herd of that movie before. RECOMMEND Lake Mungo (2008)
1,Ill try it out. sure. RECOMMEND Vertigo (1958)
1,I like action movies. RECOMMEND Die Hard (1988)
1,I have never seen that one before. RECOMMEND Honkytonk Man (1982)
1,I love that movie!. RECOMMEND Shutter Island (2010)
1,Sure. RECOMMEND Schindler's List (1993)
1,hi, i really wanna watch a sci fi movie, i also love dramas. RECOMMEND Indiana Jones and the Last Crusade (1989)
1,Because it's a romantic comedy, which highly fits my interests. RECOMMEND Shakespeare in Love (1998)
1,Okay, shoot. RECOMMEND Something's Gotta Give (2003)
0,would like something more like forrest gump or batman begins. RECOMMEND 300 (2007)
1,I like Stephen Spielberg, I love Christian Bale, Tom Hanks. comedy, romance, dramas.. RECOMMEND Wedding Crashers (2005)
1,would like something a little comedy to it. RECOMMEND Braveheart (1995)
0,seeker. RECOMMEND Glory (1989)
1,I love Tom Hanks.. RECOMMEND Good Will Hunting (1997)
1,Excellent!. RECOMMEND Philadelphia (1993)
0,I have seen it several times. I really liked the Back to the Future series. Michael J Fox had the characteristics of comedy that I like. I also was amused with Harry met Sally comedy.. RECOMMEND Ferris Bueller's Day Off (1986)
0,No, I like time travel that is not too serious.. RECOMMEND Groundhog Day (1993)
1,I like Saving Private Ryan.. RECOMMEND Braveheart (1995)
1,I love spilberg!. RECOMMEND Indiana Jones and the Temple of Doom (1984)
1,I have enjoyed animation in the past and I think I will like it too.. RECOMMEND Jurassic Park (1993)
1,Yes I like thosee and I also liked Forbidden Planet from 1956!. RECOMMEND Monsters, Inc. (2001)
1,No one in particular.. RECOMMEND Finding Nemo (2003)
1,Sounds good.. RECOMMEND Braveheart (1995)
1,Sorry I should have said drama fantasy movies.. RECOMMEND Goodfellas (1990)
0,Harrison Ford ha always been one of my favorites.. RECOMMEND Groundhog Day (1993)
1,I also like the "tough" guy movies that are available.. RECOMMEND Aliens (1986)
1,Ok we'll give a try...... RECOMMEND Apollo 13 (1995)
1,Probably since I like a couple comedy films too. RECOMMEND Monsters, Inc. (2001)
1,just a little, not much tho. RECOMMEND Apocalypse Now (1979)
1,No, I like movies with more of a dramatic edge. RECOMMEND Being John Malkovich (1999)
1,Seems in my wheelhouse.. RECOMMEND L.A. Confidential (1997)
1,I like comedy, drama and horror.. RECOMMEND Sliding Doors (1998)
1,romantic drama. RECOMMEND Sommersby (1993)
1,That sounds perfect what is it. RECOMMEND Red Planet (2000)
1,Yes I like them and maybe a documentary or even some good drama. RECOMMEND Fargo (1996)
1,I think this is a good match to the movies I liked its along the same categories. RECOMMEND Blade Runner (1982)
1,let's try!. RECOMMEND Fight Club (1999)
1,Any. As long as it has a good plot and fine actors.. RECOMMEND O Brother, Where Art Thou? (2000)
1,Yes definitely.. RECOMMEND Donnie Darko (2001)
1,Ye spy movies would be great also.. RECOMMEND Casino Royale (2006)
1,I think we might go more action. RECOMMEND Reservoir Dogs (1992)
1,90s. RECOMMEND Dead Man Walking (1995)
1,go ahead ill watch anything. RECOMMEND Sleepless in Seattle (1993)
1,Epic war movies, epic romantic comedies, and the odd romantic comedy if it's classy.. RECOMMEND When a Man Loves a Woman (1994)
1,Mid 90's romantic comedy with a drama twist. RECOMMEND Dances with Wolves (1990)
1,Can you recommend a movie? I like a lot of movies with really popular actors like Tom Hanks, Johnny Depp and Brad Pitt. I love dramas and dark movies also.. RECOMMEND Dead Poets Society (1989)
0,ok. RECOMMEND Schindler's List (1993)
1,I tend to like psychological dramas and thriller types. RECOMMEND Donnie Darko (2001)
1,Not really, no. RECOMMEND Requiem for a Dream (2000)
1,Spike Lee and Ed norton are good directors. Tom Green is funny. Johnny Depp is good as well. RECOMMEND American Beauty (1999)
1,Hi! I am looking for a "neo" mystery or a western type movie or even a romantic movie.. RECOMMEND There Will Be Blood (2007)
1,hello, I like 90s movies. I really like action, adventure, and comedy movies. Bruce Willis, Keanu Reeves, Sandra Bullock, and Harrison Ford are my favorite actors. I like movies directed by Steven Spielberg. RECOMMEND Die Hard (1988)
1,Henry Fonda and James Cagney are some great actors from the past.. RECOMMEND Some Like It Hot (1959)
1,I love Billy Wilder!. RECOMMEND American Graffiti (1973)
1,Yea. RECOMMEND Memento (2000)
1,sounds good!. RECOMMEND Schindler's List (1993)
1,I love character development and dramas. Some action is fine, but I'm just more into the emotional aspects of the movie. The drama, the development of the story.. RECOMMEND American Sniper (2014)
1,I like some sci-fi movies.. RECOMMEND Django Unchained (2012)
1,Not particularly, but I don't have anything against them. They're just a little too old for me to connect with.. RECOMMEND Guardians of the Galaxy (2014)
0,I think its exactly what I want. A lone person trying to go through some turmoil and find their way to the end. A more character progression based film.. RECOMMEND Zero Dark Thirty (2012)
0,I want something with more drama, and not so much military violence.. RECOMMEND Blue Collar (1978)
1,I've not heard of this one and it's the least similar to the 5 movies that I like.. RECOMMEND Carolina (2005)
1,I don't have a preference, so you will likely need to just send me a recommendation.. RECOMMEND Ferris Bueller's Day Off (1986)
1,This seems like an possibly interesting film.. RECOMMEND Memento (2000)
1,This might work and is similar in the degree of action to Spielberg films that I like.. RECOMMEND Dear Frankie (2004)
1,This is a classic movie and seem like one I would like. I also like zany comedies about knights and kids movies about fish. RECOMMEND Aliens (1986)
1,Okay.. RECOMMEND Patton (1970)
1,It is, but apparently it's not good enough. :). RECOMMEND Braveheart (1995)
1,Spielberg is enjoyable. Sure.. RECOMMEND Jurassic Park (1993)
1,I am interested in sci-fi and action, horror films. Can you give me any recommendations?. RECOMMEND Aliens (1986)
1,Yes, I do.. RECOMMEND Pulp Fiction (1994)
1,Thank you!. RECOMMEND Raging Bull (1980)
1,I have seen armegeddon and fight club and also faceoff!. RECOMMEND Red Corner (1997)
1,I have never seen this movie. RECOMMEND American History X (1998)
1,I heard of this movie before and might like it. RECOMMEND Trapped in Paradise (1994)
1,Seems like my type of movie. RECOMMEND Full Metal Jacket (1987)
1,I like actions shows and big budget movies. RECOMMEND Die Hard (1988)
1,I do like Drama. I also like quentin tarantino, clint eastwood, Danny Boyle, Morgan Freeman. RECOMMEND Mystic River (2003)
1,Clint eastwood produced it. RECOMMEND Up (2009)
1,I really like a wide range of genres. War, drama, comedy, adventure. Mostly comedy. RECOMMEND Despicable Me (2010)
1,comic book. RECOMMEND Office Space (1999)
1,Christian Bale, Kevin Spacey. RECOMMEND Spider-Man (2002)
1,Hi, I like Spielberg movies and comedy. RECOMMEND Back to the Future (1985)
0,I like movies that have a lot of adventure.. RECOMMEND Fight Club (1999)
1,I like Tommy Lee Jones and Jennifer Aniston. RECOMMEND Donnie Darko (2001)
1,That one might be better because I like movies about a specific person.. RECOMMEND Braveheart (1995)
1,I really like cult classics from the 90s. Crime is my favorite genre. I occasionally watch movies from the 70's and 80's as well. Do you have any movie suggestions for me?. RECOMMEND Donnie Darko (2001)
1,It's a cult classic. RECOMMEND Reservoir Dogs (1992)
1,awesome lets have it. RECOMMEND Memento (2000)
1,bot really. RECOMMEND Reservoir Dogs (1992)
0,mel gibson. RECOMMEND Trainspotting (1996)
1,drama yes. RECOMMEND Honkytonk Man (1982)
1,go for it. RECOMMEND Schindler's List (1993)
1,ok go for it. RECOMMEND Trainspotting (1996)
1,Ilike mystery. RECOMMEND Delicatessen (1991)
1,thrillers high tense. RECOMMEND Akira (1988)
1,No, sorry. I am kind of all over the place in that regard.. RECOMMEND Blue Velvet (1986)
1,That looks interesting but I think I am looking more toward a drama or something along the lines of a thriller. RECOMMEND Fight Club (1999)
1,It is right up there with what I am looking for. I loved twin peaks.. RECOMMEND Little Miss Sunshine (2006)
1,Yes I do like Sigourney Weaver, and I haven't seen anything by Cameron. The director I like the most is Ridley Scott. RECOMMEND Aliens (1986)
1,That's okay... Maybe war? I usually like crime, drama, and scifi but between those war. RECOMMEND Apocalypse Now (1979)
1,Ooh that's tough because I only like british comedy. Maybe western?. RECOMMEND Blazing Saddles (1974)
1,1990 at the latest but everything from 50s-80s for the most part.. RECOMMEND Taxi Driver (1976)
1,It is from the 90s like I requested. It's a comedy like I wanted and I haven't see this one. I'm willing to give it a shot !. RECOMMEND Glengarry Glen Ross (1992)
1,Now this is more like it. Not only from the 90s, but this one is a Pulitzer Prize- and Tony-winning play of the same name. There must be some decent acting and I bet the movie is not cheesy at all. Seems like a classy cinema.. RECOMMEND 10 to Midnight (1983)
1,I mean... this won't be anything my wife would want to watch, but I will gladly see it. Action-Crime-thriller ? Sounds like a winner to me !. RECOMMEND Reservoir Dogs (1992)
1,Just nothing cheesy please. I'm in a mood for some good acting if possible.. RECOMMEND Destiny Turns on the Radio (1995)
1,I like romantic comedies better. RECOMMEND When Harry Met Sally... (1989)
0,I like them from any decade really. RECOMMEND Pink Cadillac (1989)
1,good romatic comedy. RECOMMEND Martian Child (2007)
1,i like comedies. RECOMMEND Indiana Jones and the Last Crusade (1989)
1,yea a little bit. RECOMMEND Falling in Love (1984)
1,Yeah I do, hes great. Recommend something!. RECOMMEND Airplane! (1980)
1,I like drama and comedy a lot.. RECOMMEND American History X (1998)
1,This one has Toby, so I like this version of Spiderman. :). RECOMMEND Iron Man 3 (2013)
1,Nice! Show me.. RECOMMEND Spider-Man 2 (2004)
0,I also like some Spike Lee movies. Do you have any documentaries or anything you think I'd like?. RECOMMEND Quiz Show (1994)
1,Hi, I like DAve, Dances with wolves, gump, philadelphia. RECOMMEND Apollo 13 (1995)
0,I like 90s movies too. RECOMMEND Shock Corridor (1963)
1,it does seem like a thriller. RECOMMEND Sin City (2005)
1,movie is too old..at least 90s... RECOMMEND Ip Man (2008)
1,also like spielberg. RECOMMEND E.T. the Extra-Terrestrial (1982)
0,yes please, i liked indiana jones and back to the future. RECOMMEND Army of Darkness (1993)
1,lets go action. RECOMMEND Die Hard (1988)
1,Hello, I typically like a wide variety of movies such as science fiction adventure like the Hunger Games, but even I like Harry Potter and Kung Fu Panda 2, an action comedy-drama, do you think you can help me find a good movie?. RECOMMEND Harry Potter and the Half-Blood Prince (2009)
1,Not to picky, things from the 70s - 90s is fine.. RECOMMEND Fargo (1996)
0,Yes somewhat. RECOMMEND Turtle Diary (1985)
1,Okay, lets see it?. RECOMMEND Memento (2000)
1,I think I might like something a little less action heavy and more like a mob film. Do you have anything like that?. RECOMMEND Braveheart (1995)
0,Wow, action and comedy, sounds great. The last one I watched was Saving Private Ryan and that was pretty heavy.. RECOMMEND Die Hard (1988)
1,Eastwood. RECOMMEND Pink Cadillac (1989)
1,time travel. RECOMMEND Back to the Future (1985)
1,yes. RECOMMEND True Lies (1994)
0,This is a crime drama and Bristish like one of my favorites. RECOMMEND Magnolia (1999)
1,It is a comedy drama which I like from the late 90's.. RECOMMEND Starred Up (2013)
1,I love movies from the mid to late 90's.. RECOMMEND Being John Malkovich (1999)
0,I want to try something different. RECOMMEND Reservoir Dogs (1992)
1,It's like ancient horror. So I don't want to see.. RECOMMEND What's Eating Gilbert Grape (1993)
0,Okay. That sounds good.. RECOMMEND Waxwork (1988)
0,I prefer to watch dramas.. RECOMMEND Apollo 13 (1995)
1,I love Harrison Ford. Indiana Jones And The Last Crusade is one of my favorite movies!. RECOMMEND Blade Runner (1982)
0,i dont like those movies.. RECOMMEND Die Hard (1988)
0,yes. RECOMMEND Back to the Future Part II (1989)
1,Love the 90s big names - Tom Hanks, Brad Pitt, Costner etc. RECOMMEND Sleepless in Seattle (1993)
1,Alright, show it to me.. RECOMMEND Blade Runner (1982)
0,I'd love a good mystery. Kind of like a cat and mouse drama.. RECOMMEND Memento (2000)
0,That would be an awesome movie to watch but its not a western and don't particularly like Guy Pearce. It could even be neo-western.. RECOMMEND Requiem for a Dream (2000)
1,Hmm, I'm not sure. If it's dramatic and a little strange I might like it. RECOMMEND American History X (1998)
1,Hopefully it's similar to another movie i like, Erin Brockovich. RECOMMEND Rain Man (1988)
0,Oh cool, what do you have in mind?. RECOMMEND On Golden Pond (1981)
1,i love him!. RECOMMEND Apollo 13 (1995)
1,tom hanks movie!. RECOMMEND Braveheart (1995)
1,A comedy crime movie fits right into my desire for a dark and twisted movie.. RECOMMEND Goodfellas (1990)
1,Generally like older.. RECOMMEND Pulp Fiction (1994)
1,I think I'd like that, it sounds like it has many of the things I'd like in a movie!. RECOMMEND Die Hard (1988)
1,Theres a muscial drama and a comedy-drama I like a lot. RECOMMEND Boogie Nights (1997)
1,drama from the 90s. RECOMMEND Election (1999)
1,Science fiction from the 80s. RECOMMEND Indiana Jones and the Last Crusade (1989)
1,I like American movies from the 80s and 90s that are comedy. RECOMMEND Groundhog Day (1993)
1,I'd go for the science fiction one. RECOMMEND Blade Runner (1982)
1,Christopher Nolan, James Cameron and such. RECOMMEND Inception (2010)
1,I honestly am not a person that goes for a specific director. I like big box office hits like Forrest Gump, Braveheart and Saving Private Ryan. Anything like this that you would reocmmend?. RECOMMEND Schindler's List (1993)
0,How about an action/adventure movie. RECOMMEND Donnie Darko (2001)
0,How about a comic book based movie. RECOMMEND The Lego Movie (2014)
0,Or something with Kevin Spacey?. RECOMMEND Fight Club (1999)
1,I know this movie!! I'd definitely watch it. I like Robin Williams. RECOMMEND Going in Style (2017)
1,I'd love this one because it sounds so interesting because it shot at the Aladdin Hotel. RECOMMEND Bowling for Columbine (2002)
1,I like both era. RECOMMEND Dead Poets Society (1989)
1,documentary film is good. adding my knowledge.. RECOMMEND Groundhog Day (1993)
0,I also liked Maverick, which was a western-period comedy from the 90s. Although, like I said, war movies and adventure are good too. I really like Steven Spielberg directed movies. Some of my favorite actors are Tom Hanks, Mel Gibson, Ron Livingston, and Sylvester Stallone. I liked his Rocky films.. RECOMMEND Bang the Drum Slowly (1973)
0,Not really. Anything you might recommend in the epic war, Western, or fantasy-adventure genres?. RECOMMEND Die Hard (1988)
1,My favorite is probably Office Space.. RECOMMEND Groundhog Day (1993)
1,Let's look at the comedy-drama first.. RECOMMEND Rain Man (1988)
1,Ok - I also like crime films and fantasy-adventure films.. RECOMMEND Skyline (2010)
1,Ok. Let's look at the Spielberg. I know I like that.. RECOMMEND Saving Private Ryan (1998)
1,Ok. I'll trust your recommendation.. RECOMMEND Crossing Delancey (1988)
1,I like movies that are funny, if that helps. Even foreign films.. RECOMMEND Brazil (1985)
1,Hello, I'm Elle. I like romance movies.. RECOMMEND Noel (2004)
1,He's a great actor as well, I enjoyed watching him in Sleepless in Seattle. I mostly prefer romantic comedies overall.. RECOMMEND When Harry Met Sally... (1989)
1,90's so not that old but not now. I also liked Monty Python a lot.. RECOMMEND Best in Show (2000)
1,Seems to be a comedy and more realistic, not to out there.. RECOMMEND Raising Arizona (1987)
1,Cult favorite fits with my other likes.. RECOMMEND Election (1999)
1,Just give me what you got lol. I'll give you my feedback.. RECOMMEND Silver Linings Playbook (2012)
1,Got'cha.. RECOMMEND Black Swan (2010)
1,I don't mind them, what do you recommend?. RECOMMEND Reservoir Dogs (1992)
1,Ok, great, so go ahead and press the recommendation button for it.. RECOMMEND Spaceballs (1987)
1,Show me what you've got!. RECOMMEND Animal House (1978)
1,sure. RECOMMEND Heartless (2009)
1,I like the sci fi. RECOMMEND Memento (2000)
1,I prefer newer ones.. RECOMMEND Donnie Darko (2001)
1,Yes please tell me.. RECOMMEND Airplane! (1980)
1,Well good afternoon. I am desperate for something to watch! I love dramas and spy films, sometimes docu's.. RECOMMEND On Her Majesty's Secret Service (1969)
1,90's but i like older movies too. RECOMMEND In the Line of Fire (1993)
1,It looks like a ME movie. RECOMMEND Crimson Tide (1995)
1,I do like trillers why not. RECOMMEND Charlie Wilson's War (2007)
1,Seems interesting to me!. RECOMMEND Witness (1985)
1,This seems like it would fit what I like. RECOMMEND Apollo 13 (1995)
1,The one with ALIENS!!!! I love love love alien movies!. RECOMMEND Alien (1979)
1,I like Steven Spielberg movies from the 80's.. RECOMMEND True Lies (1994)
1,It seems like an adventurous movie, I think I would like it.. RECOMMEND Jurassic Park (1993)
1,LOVE MOVIES. RECOMMEND E.T. the Extra-Terrestrial (1982)
1,STEVEN SPIELBERG DIRECTOR. RECOMMEND Schindler's List (1993)
1,The only other thing I watched that came close was pulp fiction.. RECOMMEND Schindler's List (1993)
1,I could do something with some action. Mainly, I am looking for something a bit off the beaten path.. RECOMMEND Reservoir Dogs (1992)
1,British comedy but no animation for me.. RECOMMEND Groundhog Day (1993)
1,Sure. I'm into American science fiction, some comedy and I even like some thriller on occasions.. RECOMMEND Beetlejuice (1988)
1,I think 80s movies are solid and this sounds like a good comedy.. RECOMMEND Horsemen (2009)
0,I certainly do. RECOMMEND Election (1999)
1,Animation is fine. Maybe not cartoons, but computer animations.. RECOMMEND Monsters, Inc. (2001)
1,I'll take the sad drama please. RECOMMEND Fight Club (1999)
1,No I don't, anything that's maybe adventure, drama, horror perhaps. RECOMMEND Die Hard (1988)
1,So I love African american movies, so if you have one of those Ill take it. Like hoop dreams, true romance (another black comedy) and pulp fiction which is a black comedy. RECOMMEND Grass (1999)
1,Not sure how many black people are in it but ill give it a try. Literally all of my movies I am interest in feature black stars. RECOMMEND Leaving Las Vegas (1995)
1,I like dramas and maybe some comedy. RECOMMEND Back to the Future (1985)
1,Its a very funny comedy. RECOMMEND Schindler's List (1993)
1,I do like a little bit of romance in my drama and comedy, yes. RECOMMEND American Beauty (1999)
0,I did like Apocalypse Now, but I tend to like movies from the mid 90's to early 2000s.. RECOMMEND Pulp Fiction (1994)
0,Great question! A lot of the films I have liked were put out in the early to mid 1990s. Usually those are set in the 1900s.. RECOMMEND Kalifornia (1993)
1,I have also liked a couple of movies about war or westerns. Does that help?. RECOMMEND Apollo 13 (1995)
1,either i like both. RECOMMEND Eternal Sunshine of the Spotless Mind (2004)
0,have not seen it. RECOMMEND Skyfall (2012)
1,love them. RECOMMEND Star Trek (2009)
1,Sounds good. RECOMMEND Assault on Precinct 13 (2005)
1,Okay let's hear it.. RECOMMEND Dead Again (1991)
1,Okay I liked at least one other way movie.. RECOMMEND Braveheart (1995)
1,lets try it!. RECOMMEND Requiem for a Dream (2000)
1,lets get it then. RECOMMEND Eternal Sunshine of the Spotless Mind (2004)
1,can i get another one. RECOMMEND Little Miss Sunshine (2006)
1,Sounds good lemme get one of those, hopefully similar to my favorite movies. RECOMMEND Magnolia (1999)
1,Do you have other recommendations?. RECOMMEND Finding Nemo (2003)
1,Cartoony. RECOMMEND Carolina (2005)
1,Looks interesting and funny as well.. RECOMMEND BURN-E (2008)
1,I await your recommendation.. RECOMMEND Grease (1978)
1,sure thing. RECOMMEND Back to the Future (1985)
0,I really wanted to see an animated musical with romance.. RECOMMEND Hoodwinked Too! Hood vs. Evil (2011)
0,I also really like Disney movies.. RECOMMEND Harry Potter and the Half-Blood Prince (2009)
0,Enchanted sounds good, but I'd like something more romantic.. RECOMMEND Sex and the City (2008)
0,I like both, but kids movies are always great.. RECOMMEND Enchanted (2007)
1,yes. i like direction. my favorite director James Cameron. RECOMMEND Fight Club (1999)
1,(You have to press the button that says recommend next to the movies name). RECOMMEND American Psycho (2000)
1,I see, lets go with the drama shall we.. RECOMMEND American Beauty (1999)
1,The black and white comedy film from the 90s sounds rather appealing.. RECOMMEND Clerks (1994)
1,Sure, let see. RECOMMEND Airplane! (1980)
1,Definitely the 90s, but I'm also open to the 2000s. RECOMMEND Natural Born Killers (1994)
1,OMG! toy story is so nostalgic to me!. RECOMMEND Apollo 13 (1995)
1,I like violent dramas as well. RECOMMEND Legends of the Fall (1994)
1,hello, I like comedy movies and action movies. can I get a recommendation?. RECOMMEND Phenomenon (1996)
1,I like a splash of sci fi... its my guilty pleasure. RECOMMEND Toy Story 2 (1999)
1,I also like fantasy and epic dramas. RECOMMEND Back to the Future Part II (1989)
1,It's a classic 80s comedy. RECOMMEND For Your Eyes Only (1981)
1,Yeah, I love 80s movies. Some 90s too.. RECOMMEND Ferris Bueller's Day Off (1986)
1,Ridley Scott and Christopher Nolan.. RECOMMEND Inception (2010)
0,Not really. Funny is great but I'm looking for something that has a bit of love a bit of heartache and a bit of humor mostly. RECOMMEND Schindler's List (1993)
0,That's not the one for me. Do you have any other suggestions?. RECOMMEND Die Hard (1988)
0,I like things that have some funny parts but also have a lot of drama in them as well. RECOMMEND Goodfellas (1990)
1,Yes, I agree.. RECOMMEND Full Metal Jacket (1987)
1,Good cast!. RECOMMEND Apollo 13 (1995)
0,I also like love stories and action. I like Kevin Costner and Brad Pitt and Richard Gere. RECOMMEND Murder in the First (1995)
1,I do like dramamtic personal relationships. I like them to be modern-day or in the past.. RECOMMEND When a Man Loves a Woman (1994)
1,This seems likea movie I would enjoy because of the romance and drama. The cast seems good too.. RECOMMEND Diabolique (1996)
0,It's kind of strange and funny. I think I would like it.. RECOMMEND Because of Winn-Dixie (2005)
1,I'm looking for more of an eclectic comedic sense.. RECOMMEND Igby Goes Down (2002)
0,I'm a big fan of comedies, but I can also go for a sillier movie or an animated flick.. RECOMMEND Dazed and Confused (1993)
1,I don't think I would like that, as I am more into Wes Anderson and even some grittier films.. RECOMMEND Reservoir Dogs (1992)
1,edgy. RECOMMEND Trainspotting (1996)
1,Lets try Alfred Hitchcock.. RECOMMEND Vertigo (1958)
1,Seems like my type.. RECOMMEND Apocalypse Now (1979)
1,yep. RECOMMEND Election (1999)
1,Yeah that might be better. Snakes on a Plane? I mean that's just dumb. How do all the snakes get on the plane?. RECOMMEND Casino Royale (2006)
0,Actually most of my favors are later 90-early 2000;s. RECOMMEND Snakes on a Plane (2006)
1,It sounds like it will be fun like Jurassic Park. it can be assumed I've heard of bond.. RECOMMEND Alien (1979)
1,No. RECOMMEND Full Metal Jacket (1987)
1,I like cartoon animations! yes!. RECOMMEND Cars (2006)
1,Oh my goodness I love that movie!. RECOMMEND Shrek 2 (2004)
1,Yes, I do.. RECOMMEND Toy Story 3 (2010)
1,I could possibly like it.. RECOMMEND Shrek (2001)
0,Yep. Thanks.. RECOMMEND Jurassic Park (1993)
1,Let's try something else. RECOMMEND Airplane! (1980)
1,Lets try the comedy. RECOMMEND American Pie (1999)
0,I like the genre.. RECOMMEND Fight Club (1999)
1,Quentin Tarantino, Kevin Costner, Tom Hanks.... RECOMMEND Fargo (1996)
1,I don't think so, do you have any other dramas?. RECOMMEND Eternal Sunshine of the Spotless Mind (2004)
1,Do you have something else you can recommend?. RECOMMEND War of the Worlds (2005)
1,I like some slower paced movies, but think more action would be better. I like space movies.. RECOMMEND Predator (1987)
1,I think this would be similar to Pulp Fiction and Reservoir Dogs. RECOMMEND Schindler's List (1993)
1,I absolutely love to Netflix and chill how about you?. RECOMMEND Reservoir Dogs (1992)
1,Let's try a comedy.. RECOMMEND Young Frankenstein (1974)
1,Lets go ahead and try Groundhog Day.. RECOMMEND Groundhog Day (1993)
1,Some of my favorite actors are John Travolta, Nicolas Cage, Bruce Wilson, and a few others, so anything with any of them is usually pretty good.. RECOMMEND Con Air (1997)
1,I guess I don't like it... I also like scary scifi. RECOMMEND Blade Runner (1982)
1,Ok. RECOMMEND Waking Up in Reno (2002)
1,Anything that a man would love! Hard, gritty, dark movies. RECOMMEND Fight Club (1999)
1,That may work. But probably not something like Shindler's LIst. RECOMMEND Jurassic Park (1993)
1,sure. can you recommend me a movie. RECOMMEND Apollo 13 (1995)
1,Well I dont' think I like zombies. But I enjoy a whodunit horror every now and again.. RECOMMEND Scott Pilgrim vs. the World (2010)
0,Definitely! I would much more prefer a super hero film I think. I really liked one where they went to other planets and guarded them. There were blue characters, a raccoon, and a really big guy.. RECOMMEND Memento (2000)
1,It might be too dark for my tastes. RECOMMEND Indiana Jones and the Last Crusade (1989)
0,my tastes range from mid 80s to 2000s. I do like John Lasseter, Robert Zemeckis and Quentin Tarantino.. RECOMMEND District 9 (2009)
1,ok. RECOMMEND Aliens (1986)
1,I like Brad Bird movies. RECOMMEND Toy Story 2 (1999)
1,I like the year 2002. RECOMMEND Ratatouille (2007)
1,They're cool! You got something incredible for me fam?. RECOMMEND Ice Age (2002)
1,I like American comedy. RECOMMEND Liar Liar (1997)
1,I like computer animated adventures and superhero films too. RECOMMEND Toy Story 2 (1999)
1,That might be interesting.. RECOMMEND Lone Star (1996)
